Intent,Category,Example Queries,Required Info,Troubleshooting Steps,Assignment
wifi_guest_access,Network,"guest wifi, wifi for customer, temporary wifi","Name, Location, Device, StartDate, EndDate",Validate request ? Create guest account ? Share credentials ? Expiry check,ITC - Network
wifi_credentials,Network,"wifi password, wifi login, activate wifi","Name, Location, Device",Check user eligibility ? Reset/Provide credentials ? Test login,ITC - Network
wifi_issue,Network,"wifi not working, cannot connect wifi","Device, IP, Network type, Error",Check adapter ? Reconnect ? IP check ? Restart ? Escalate,ITC - Network
switch_port_request,Network,"configure port, enable port, disable port","Device, Port number, Switch IP",Validate request ? Configure port ? Test connectivity,ITC - Network
vlan_configuration,Network,"change vlan, assign vlan, port vlan config","Device, Port, VLAN ID",Verify VLAN ? Configure ? Test,ITC - Network
access_point_request,Network,"install access point, office AP issue","Location, Device",Check requirement ? Install/configure AP ? Test signal,ITC - Network
website_access_issue,Network,"cannot access website, site blocked","URL, IP, Network type",Check DNS ? Try different network ? Firewall check,ITC - Network
vpn_issue,Network/Cyber,"vpn not working, resource access issue","IP, ISP, Network type",Check VPN ? ISP restriction ? Firewall ? Escalate,ITC - Network/Cyber
firewall_request,Network,"allow port, smtp/smb access","Device, Port, Protocol",Validate ? Update firewall ? Test,ITC - Network
ip_change_request,Network,"change IP, IP nating","Device, Current IP, New IP",Validate ? Update config ? Restart ? Test,ITC - Network
network_device_issue,Network,"router issue, connectivity lost","Device, Location",Ping test ? Check device ? Restart ? Escalate,ITC - Network
project_network_task,Network,"project setup, cctv project","Project details, Location",Gather requirements ? Configure network ? Validate,ITC - Network
wifi_guest_access,Network,"guest wifi, customer wifi, studio wifi access","Name, Location, Device, StartDate, EndDate",Validate ? Create access ? Share credentials,ITC - Network
wifi_issue,Network,"wifi not working, mobile wifi issue","Device, IP, Network type, Error",Check adapter ? reconnect ? IP ? restart,ITC - Network
wifi_credentials,Network,"wifi password, activate wifi","Name, Location, Device",Reset credentials ? verify login,ITC - Network
